planet_name,planet_alternate_name,planet_name_key,type,planetary_body_type,type_body,star_system,level,gravity,o2,condition,ok for 0 hab skill,temperature,atmosphere,magnetosphere,water,planet_resources,planet_resources_count,fauna,flora,biomes_cleaned,biomes_simple,traits_cleaned,criteria_match,water_simple,temperature_intensity,pressure_intensity,atmosphere_intensity,gravity_intensity,resources_matched,bodytype_for_predictor_algorithm,temp_for_predictor_algorithm,atmotype_for_predictor_algorithm,mag_for_predictor_algorithm,water_for_predictor_algorithm,fauna_predictor_algorithm,flora_predictor_algorithm,fauna_result,flora_result
Foucault I-a,,FoucaultIa,Barren,Moon,Barren Moon,Foucault,60,0.17,,,,Inferno,None,None,None,"Al,He-3,Nd",3,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,1,0,0,0,2,3,7,1,1,1,0,0,0*,0*
Foucault I-b,,FoucaultIb,Barren,Moon,Barren Moon,Foucault,60,0.09,,,,Inferno,None,None,None,"Al,He-3",2,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,1,0,0,0,2,3,7,1,1,1,0,0,0*,0*
Foucault II,,FoucaultII,Rock,Planet,Rock Planet,Foucault,60,0.59,,,,Inferno,Thin CO2,Powerful,None,"Cl,Ir,Pu,U",4,Unknown,Unknown,"Desert-Rocky,Desert-Sandy",Desert,Unknown,37.5%,No,1,0,3,0,0,4,7,4,7,1,0,0,0*,0*
Foucault II-a,,FoucaultIIa,Barren,Moon,Barren Moon,Foucault,60,0.30,,,,Inferno,None,None,None,"Al,Be,He-3",3,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,1,0,0,0,2,3,7,1,1,1,0,0,0*,0*
Foucault II-b,,FoucaultIIb,Barren,Moon,Barren Moon,Foucault,60,0.08,,,,Inferno,None,None,None,"Fe,He-3",2,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,1,0,0,0,2,3,7,1,1,1,0,0,0*,0*
Foucault III,,FoucaultIII,Rock,Planet,Rock Planet,Foucault,60,1.50,,,,Cold,High M,Average,None,"H20,Ni,Pb",3,Unknown,Unknown,"Desert-Rocky,Hills,Polar-Ice,SavannahBarren","Desert,Hills,Ice,Savannah",Unknown,37.5%,No,0,2,3,0,1,4,3,5,4,1,2,2,2*,2*
Foucault III-a,,FoucaultIIIa,Barren,Moon,Barren Moon,Foucault,60,0.12,,,,Cold,None,None,None,"Fe,He-3,HnCn",3,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,0,0,0,0,2,3,3,1,1,1,0,0,0*,0*
Foucault III-b,,FoucaultIIIb,Barren,Moon,Barren Moon,Foucault,60,0.16,,,,Cold,None,None,None,"Al,He-3",2,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,0,0,0,0,2,3,3,1,1,1,0,0,0*,0*
Foucault IV,,FoucaultIV,Barren,Planet,Barren Planet,Foucault,60,0.83,,,,Frozen,None,Weak,None,"Al,Be,He-3,Nd",4,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,0,0,0,0,2,3,2,1,3,1,0,0,0*,0*
Foucault V,,FoucaultV,Gas giant,Planet,Gas giant Planet,Foucault,60,2.84,,,,Deep freeze,H2,Extreme,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,1,0,0,4,0,2,1,3,8,1,0,0,0*,0*
Foucault V-a,,FoucaultVa,Ice,Moon,Ice Moon,Foucault,60,0.03,,,,Deep freeze,None,None,Chemical,"H20,Ni",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,1,3,1,1,1,3,0,0,0*,0*
Foucault V-b,,FoucaultVb,Rock,Moon,Rock Moon,Foucault,60,0.66,,,,Deep freeze,Std O2,None,Chemical,"Cu,Fe,H20,Hg,HnCn,Ni,Pb",7,Unknown,Unknown,"Archipelago,Desert-Rocky,Hills,Mountains,Ocean,SavannahBarren","Coastal,Desert,Hills,Mountains,Ocean,Savannah",Unknown,79.2%,Yes,1,0,0,0,2,4,1,6,1,3,0,0,0*,0*
Foucault V-c,,FoucaultVc,Ice,Moon,Ice Moon,Foucault,60,0.22,,,,Deep freeze,None,None,Chemical,"Cu,F,H20",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0*,0*
Foucault V-d,,FoucaultVd,Rock,Moon,Rock Moon,Foucault,60,0.51,,,,Deep freeze,Thin M,None,Chemical,"Co,Cu,F,H20,Ni,Pb,W",7,Unknown,Unknown,"Archipelago,Desert-Rocky,Forest,Hills,Mountains,Ocean,Polar-Ice,SavannahBarren","Coastal,Desert,Forest,Hills,Mountains,Ocean,Ice,Savannah",Unknown,62.5%,Yes,1,0,3,0,2,4,1,5,1,3,0,0,0*,0*
Foucault VI,,FoucaultVI,Gas giant,Planet,Gas giant Planet,Foucault,60,3.70,,,,Deep freeze,H2,Extreme,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,1,0,0,4,0,2,1,3,8,1,0,0,0*,0*
Foucault VI-a,,FoucaultVIa,Ice,Moon,Ice Moon,Foucault,60,0.25,,,,Deep freeze,None,None,Chemical,"Au,Cu,H20",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0*,0*
Foucault VI-b,,FoucaultVIb,Ice,Moon,Ice Moon,Foucault,60,0.32,,,,Deep freeze,None,None,Chemical,"Cl,H20",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0*,0*
Foucault VI-c,,FoucaultVIc,Barren,Moon,Barren Moon,Foucault,60,0.36,,,,Deep freeze,None,None,Safe,"Al,Cu,H20,He-3,xF4",5,Unknown,Unknown,"Cratered,Polar-Ice","Cratered,Ice",Unknown,45.8%,Yes,1,0,0,0,2,3,1,1,1,6,0,0,0*,0*
Foucault VI-d,,FoucaultVId,Ice,Moon,Ice Moon,Foucault,60,0.17,,,,Deep freeze,None,None,Safe,"Cl,H20,SiH3Cl",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,6,0,0,0*,0*
Foucault VI-e,,FoucaultVIe,Ice,Moon,Ice Moon,Foucault,60,0.02,,,,Deep freeze,None,None,Safe,"Au,Cu,F,H20,Sb",5,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,6,0,0,0*,0*
Foucault VII,,FoucaultVII,Gas giant,Planet,Gas giant Planet,Foucault,60,2.62,,,,Deep freeze,H2,Extreme,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,1,0,0,4,0,2,1,3,8,1,0,0,0*,0*
Foucault VII-a,,FoucaultVIIa,Rock,Moon,Rock Moon,Foucault,60,0.56,,,,Deep freeze,None,None,Radioactive,"Fe,H20,Pb,Ti,U,V,W",7,Unknown,Unknown,"Desert-Sandy,Forest,Hills,Mountains,Ocean","Desert,Forest,Hills,Mountains,Ocean",Unknown,62.5%,Yes,1,0,0,0,2,4,1,1,1,4,0,0,0*,0*
Foucault VII-b,,FoucaultVIIb,Ice,Moon,Ice Moon,Foucault,60,0.08,,,,Deep freeze,None,None,Chemical,"H20,Ni,Pt",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,1,3,1,1,1,3,0,0,0*,0*
Foucault VII-c,,FoucaultVIIc,Ice,Moon,Ice Moon,Foucault,60,0.15,,,,Deep freeze,None,None,Heavy metal,"H20,Ni",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,1,3,1,1,1,2,0,0,0*,0*
Foucault VII-d,,FoucaultVIId,Rock,Moon,Rock Moon,Foucault,60,0.59,,,,Deep freeze,None,None,None,"Ar,C6Hn,Cl,H20,Ni",5,Unknown,Unknown,"Desert-Rocky,Hills,Ocean,Polar-Ice,SavannahBarren","Desert,Hills,Ocean,Ice,Savannah",Unknown,37.5%,No,1,0,0,0,1,4,1,1,1,1,0,0,0*,0*
Foucault VII-e,,FoucaultVIIe,Rock,Moon,Rock Moon,Foucault,60,0.42,,,,Deep freeze,Thin N2,None,Chemical,"Al,Ar,H20,He-3,Nd,Pb,R-COC,U",8,Unknown,Unknown,"Cratered,Mountains,Polar-Ice,SavannahBarren","Cratered,Mountains,Ice,Savannah",Unknown,62.5%,Yes,1,0,0,0,2,4,1,2,1,3,0,0,0*,0*
Foucault VIII,,FoucaultVIII,Ice,Planet,Ice Planet,Foucault,60,0.05,,,,Deep freeze,None,None,Safe,"Ar,H20",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,6,0,0,0*,0*
Foucault VIII-a,,FoucaultVIIIa,Ice,Moon,Ice Moon,Foucault,60,0.05,,,,Deep freeze,None,None,Chemical,"Cu,F,H20,IL",4,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0*,0*
Freya I,,FreyaI,Barren,Planet,Barren Planet,Freya,40,0.96,,,,Inferno,None,Average,None,"Al,Eu,He-3",3,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,1,0,0,0,2,3,7,1,4,1,0,0,0*,0*
Freya II,,FreyaII,Rock,Planet,Rock Planet,Freya,40,1.32,,,,Scorched,High CO2,Very strong,None,"Cl,Pb,U,V",4,Unknown,Unknown,"Desert-Rocky,Desert-Sandy,Volcanic","Desert,Volcanic",Unknown,37.5%,No,0,2,3,0,0,4,6,4,6,1,0,0,0*,0*
Freya III,,FreyaIII,Rock,Planet,Rock Planet,Freya,40,0.82,,,,Temperate,Std O2,Very weak,Heavy metal,"Ag,Ar,C6Hn,Cl,Cu,H20,Hg,Pb",8,Moderate (7),Moderate (6),"Archipelago,Forest,Mountains,Ocean,Polar-Ice,SavannahBarren,Wetlands","Coastal,Forest,Mountains,Ocean,Ice,Savannah,Wetlands",Unknown,100.0%,Yes,0,0,0,0,0,4,4,6,2,2,3,3,7,6
Freya IV,,FreyaIV,Rock,Planet,Rock Planet,Freya,40,0.38,,,,Cold,Thin M,Weak,Safe,"Al,Co,Eu,H20,He-3,Ir,Ni,U",8,Unknown,Unknown,"Cratered,Desert-Rocky,Polar-Ice,SavannahBarren","Cratered,Desert,Ice,Savannah",Unknown,45.8%,Yes,0,0,3,0,3,4,3,5,3,6,5,4,5*,4*
Freya IV-a,,FreyaIVa,Barren,Moon,Barren Moon,Freya,40,0.06,,,,Cold,None,None,None,"Fe,He-3",2,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,0,0,0,0,2,3,3,1,1,1,0,0,0*,0*
Freya IV-b,,FreyaIVb,Barren,Moon,Barren Moon,Freya,40,0.10,,,,Cold,None,None,None,"Al,Eu,He-3",3,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,0,0,0,0,2,3,3,1,1,1,0,0,0*,0*
Freya IV-c,,FreyaIVc,Barren,Moon,Barren Moon,Freya,40,0.14,,,,Cold,None,None,None,"Al,He-3",2,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,0,0,0,0,2,3,3,1,1,1,0,0,0*,0*
Freya IX,,FreyaIX,Gas giant,Planet,Gas giant Planet,Freya,40,4.93,,,,Deep freeze,H2,Massive,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,1,0,0,4,0,2,1,3,8,1,0,0,0*,0*
Freya IX-a,,FreyaIXa,Ice,Moon,Ice Moon,Freya,40,0.09,,,,Deep freeze,None,None,None,"Cl,H20,SiH3Cl,Xe",4,Unknown,Unknown,Polar-Ice,Ice,Unknown,37.5%,No,1,0,0,0,0,3,1,1,1,1,0,0,0*,0*
Freya IX-b,,FreyaIXb,Rock,Moon,Rock Moon,Freya,40,0.56,,,,Deep freeze,None,Very weak,Safe,"Co,Cu,H20,Ni,Pb,Pt,U",7,Unknown,Unknown,"Archipelago,Forest,Ocean,Wetlands","Coastal,Forest,Ocean,Wetlands",Unknown,45.8%,Yes,1,0,0,0,1,4,1,1,2,6,0,0,0*,0*
Freya IX-c,,FreyaIXc,Barren,Moon,Barren Moon,Freya,40,0.28,,,,Deep freeze,None,None,Safe,"Al,Be,Cl,Eu,H20,He-3",6,Unknown,Unknown,"Cratered,Polar-Ice","Cratered,Ice",Unknown,45.8%,Yes,1,0,0,0,2,3,1,1,1,6,0,0,0*,0*
Freya V,,FreyaV,Rock,Planet,Rock Planet,Freya,40,0.39,,,,Frozen,Thin N2,Weak,Chemical,"Cl,Co,Fe,H20,He-3,Ni,Pb,SiH3Cl",8,Unknown,Unknown,"Cratered,Hills,Polar-Ice,SavannahBarren","Cratered,Hills,Ice,Savannah",Unknown,45.8%,Yes,0,0,0,0,3,4,2,2,3,3,0,0,0*,0*
Freya VI,,FreyaVI,Barren,Planet,Barren Planet,Freya,40,0.68,,,,Frozen,None,Weak,None,"Al,He-3",2,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,0,0,0,0,2,3,2,1,3,1,0,0,0*,0*
Freya VII,,FreyaVII,Gas giant,Planet,Gas giant Planet,Freya,40,4.72,,,,Deep freeze,H2,Extreme,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,1,0,0,4,0,2,1,3,8,1,0,0,0*,0*
Freya VII-a,,FreyaVIIa,Rock,Moon,Rock Moon,Freya,40,0.58,,,,Deep freeze,None,None,Radioactive,"Cu,F,H20,Ni,Pb,Ti,W,xF4",8,Unknown,Unknown,"Archipelago,Forest,Ocean,Polar-Ice","Coastal,Forest,Ocean,Ice",Unknown,45.8%,Yes,1,0,0,0,2,4,1,1,1,4,0,0,0*,0*
Freya VIII,,FreyaVIII,Gas giant,Planet,Gas giant Planet,Freya,40,4.75,,,,Deep freeze,H2,Massive,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,1,0,0,4,0,2,1,3,8,1,0,0,0*,0*
Freya VIII-a,,FreyaVIIIa,Ice,Moon,Ice Moon,Freya,40,0.09,,,,Deep freeze,None,None,Safe,"H20,Pb",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,6,0,0,0*,0*
Gamma Vulpes I,,GammaVulpesI,Rock,Planet,Rock Planet,Gamma Vulpes,50,1.02,,,,Temperate,High O2,Weak,Safe,"Cl,Cu,H20,Li,SiH3Cl",5,Unknown,Unknown,"Desert-Sandy,Ocean,Polar-Ice","Desert,Ocean,Ice",Unknown,79.2%,Yes,0,2,0,0,0,4,4,6,3,6,4,3,4*,3*
Gamma Vulpes II,,GammaVulpesII,Ice giant,Planet,Ice giant Planet,Gamma Vulpes,50,1.43,,,,Frozen,H2,Average,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,0,0,0,0,0,2,2,3,4,1,0,0,0*,0*
Gamma Vulpes II-a,,GammaVulpesIIa,Rock,Moon,Rock Moon,Gamma Vulpes,50,0.61,,,,Temperate,Std O2,Average,Chemical,"Ar,Co,Cu,Fe,H20,Ir,Ni,U",8,Unknown,Unknown,"Archipelago,Forest,Mountains,Ocean,Polar-Ice,Wetlands","Coastal,Forest,Mountains,Ocean,Ice,Wetlands",Unknown,95.8%,Yes,0,0,0,0,2,4,4,6,4,3,4,3,4*,3*
Gamma Vulpes II-b,,GammaVulpesIIb,Ice,Moon,Ice Moon,Gamma Vulpes,50,0.04,,,,Frozen,None,None,Safe,"Cu,H20,xF4",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,0,0,0,0,0,3,2,1,1,6,0,0,0*,0*
Gamma Vulpes II-c,,GammaVulpesIIc,Ice,Moon,Ice Moon,Gamma Vulpes,50,0.12,,,,Frozen,None,None,Chemical,"Cu,H20",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,0,0,0,0,0,3,2,1,1,3,0,0,0*,0*
Gamma Vulpes II-d,,GammaVulpesIId,Rock,Moon,Rock Moon,Gamma Vulpes,50,0.59,,,,Deep freeze,Std N2,None,None,"Al,Ar,C6Hn,Cl,Co,H20,Ni",7,Unknown,Unknown,"Archipelago,Hills,Ocean,Polar-Ice,SavannahBarren","Coastal,Hills,Ocean,Ice,Savannah",Unknown,37.5%,No,1,0,0,0,2,4,1,2,1,1,0,0,0*,0*
Gamma Vulpes III,,GammaVulpesIII,Ice giant,Planet,Ice giant Planet,Gamma Vulpes,50,1.64,,,,Deep freeze,H2,Weak,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,1,0,0,0,0,2,1,3,3,1,0,0,0*,0*
Gamma Vulpes III-a,,GammaVulpesIIIa,Ice,Moon,Ice Moon,Gamma Vulpes,50,0.02,,,,Deep freeze,None,None,Chemical,"Ar,C6Hn,H20",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0*,0*
Gamma Vulpes IV,,GammaVulpesIV,Gas giant,Planet,Gas giant Planet,Gamma Vulpes,50,3.79,,,,Deep freeze,H2,Extreme,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,1,0,0,4,0,2,1,3,8,1,0,0,0*,0*
Gamma Vulpes IV-a,,GammaVulpesIVa,Rock,Moon,Rock Moon,Gamma Vulpes,50,0.46,,,,Temperate,Thin M,None,Biological,"Dy,H20,Pb,Ti,U,W",6,Unknown,Unknown,"Desert-Rocky,Desert-Sandy,Ocean,Volcanic","Desert,Ocean,Volcanic",Unknown,62.5%,Yes,0,0,3,0,1,4,4,5,1,5,2,1,2*,1*
Gamma Vulpes IV-b,,GammaVulpesIVb,Barren,Moon,Barren Moon,Gamma Vulpes,50,0.32,,,,Deep freeze,None,None,None,"Fe,He-3",2,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,1,0,0,0,2,3,1,1,1,1,0,0,0*,0*
Gamma Vulpes IV-c,,GammaVulpesIVc,Ice,Moon,Ice Moon,Gamma Vulpes,50,0.11,,,,Deep freeze,None,None,Safe,"Cl,H20",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,6,0,0,0*,0*
Gamma Vulpes IV-d,,GammaVulpesIVd,Barren,Moon,Barren Moon,Gamma Vulpes,50,0.27,,,,Deep freeze,None,None,None,"Al,He-3,Nd",3,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,1,0,0,0,2,3,1,1,1,1,0,0,0*,0*
Groombridge I,,GroombridgeI,Rock,Planet,Rock Planet,Groombridge,25,0.57,,,,Temperate,Std CO2,Weak,None,"Al,Be,Fe,H20,U,V",6,Unknown,Unknown,"Desert-Sandy,Mountains,SavannahBarren","Desert,Mountains,Savannah",Unknown,70.8%,No,0,0,3,0,2,4,4,4,3,1,2,1,2*,1*
Groombridge II,,GroombridgeII,Rock,Planet,Rock Planet,Groombridge,25,2.18,,,,Frozen,Extr M,Average,Safe,"Cu,Fe,H20,HnCn,Pb,W",6,Unknown,Unknown,"Desert-Rocky,Hills,Polar-Ice,SavannahBarren","Desert,Hills,Ice,Savannah",Unknown,45.8%,Yes,0,2,3,4,2,4,2,5,4,6,0,0,0*,0*
Groombridge II-a,,GroombridgeIIa,Barren,Moon,Barren Moon,Groombridge,25,0.20,,,,Frozen,None,None,None,"Al,He-3",2,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,0,0,0,0,2,3,2,1,1,1,0,0,0*,0*
Groombridge II-b,,GroombridgeIIb,Rock,Moon,Rock Moon,Groombridge,25,0.39,,,,Frozen,Thin M,None,Heavy metal,"Cu,H20,Pb,xF4",4,Unknown,Unknown,"Desert-Rocky,Polar-Ice,SavannahBarren","Desert,Ice,Savannah",Unknown,45.8%,Yes,0,0,3,0,0,4,2,5,1,2,0,0,0*,0*
Groombridge II-c,,GroombridgeIIc,Barren,Moon,Barren Moon,Groombridge,25,0.07,,,,Frozen,None,None,None,"Al,He-3,Nd",3,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,0,0,0,0,2,3,2,1,1,1,0,0,0*,0*
Groombridge III,,GroombridgeIII,Rock,Planet,Rock Planet,Groombridge,25,1.03,,,,Frozen,Std N2,Powerful,Chemical,"Ag,H20,Pb,U",4,Unknown,Unknown,"Polar-Ice,SavannahBarren","Ice,Savannah",Unknown,45.8%,Yes,0,0,0,0,0,4,2,2,7,3,0,0,0*,0*
Groombridge III-a,,GroombridgeIIIa,Barren,Moon,Barren Moon,Groombridge,25,0.08,,,,Frozen,None,None,None,,0,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,0,0,0,0,0,3,2,1,1,1,0,0,0*,0*
Groombridge IV,,GroombridgeIV,Barren,Planet,Barren Planet,Groombridge,25,0.87,,,,Deep freeze,None,Average,None,"Al,Be,He-3",3,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,1,0,0,0,2,3,1,1,4,1,0,0,0*,0*
Groombridge IV-a,,GroombridgeIVa,Barren,Moon,Barren Moon,Groombridge,25,0.19,,,,Deep freeze,None,None,None,"Al,He-3",2,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,1,0,0,0,2,3,1,1,1,1,0,0,0*,0*
Groombridge V,,GroombridgeV,Gas giant,Planet,Gas giant Planet,Groombridge,25,2.37,,,,Deep freeze,H2,Strong,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,1,0,0,4,0,2,1,3,5,1,0,0,0*,0*
Groombridge V-a,,GroombridgeVa,Ice,Moon,Ice Moon,Groombridge,25,0.05,,,,Deep freeze,None,None,Safe,"Cu,F,H20",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,6,0,0,0*,0*
Groombridge V-b,,GroombridgeVb,Ice,Moon,Ice Moon,Groombridge,25,0.12,,,,Deep freeze,None,None,Chemical,"Au,Cu,F,H20",4,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0*,0*
Groombridge V-c,,GroombridgeVc,Ice,Moon,Ice Moon,Groombridge,25,0.05,,,,Deep freeze,None,None,Safe,"Ar,C6Hn,H20",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,6,0,0,0*,0*
Groombridge V-d,,GroombridgeVd,Ice,Moon,Ice Moon,Groombridge,25,0.03,,,,Deep freeze,None,None,Safe,"Ar,H20",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,6,0,0,0*,0*
Groombridge V-e,,GroombridgeVe,Ice,Moon,Ice Moon,Groombridge,25,0.23,,,,Deep freeze,None,None,Heavy metal,"Cu,H20",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,2,0,0,0*,0*
Groombridge VI,,GroombridgeVI,Gas giant,Planet,Gas giant Planet,Groombridge,25,1.80,,,,Deep freeze,H2,Extreme,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,1,0,0,0,0,2,1,3,8,1,0,0,0*,0*
Groombridge VI-a,,GroombridgeVIa,Rock,Moon,Rock Moon,Groombridge,25,0.28,,,,Deep freeze,None,None,Safe,"Al,Cu,H20,He-3",4,Unknown,Unknown,"Cratered,Polar-Ice","Cratered,Ice",Unknown,45.8%,Yes,1,0,0,0,2,4,1,1,1,6,0,0,0*,0*
Groombridge VI-b,,GroombridgeVIb,Ice,Moon,Ice Moon,Groombridge,25,0.09,,,,Deep freeze,None,None,Chemical,"Cl,H20,SiH3Cl",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0*,0*
Groombridge VII,,GroombridgeVII,Ice giant,Planet,Ice giant Planet,Groombridge,25,1.20,,,,Deep freeze,H2,Powerful,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,1,0,0,0,0,2,1,3,7,1,0,0,0*,0*
Groombridge VII-a,,GroombridgeVIIa,Ice,Moon,Ice Moon,Groombridge,25,0.13,,,,Deep freeze,None,None,Chemical,"Cu,H20",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0*,0*
Groombridge VII-b,,GroombridgeVIIb,Ice,Moon,Ice Moon,Groombridge,25,0.23,,,,Deep freeze,None,None,Safe,"H20,Pb,Ti",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,6,0,0,0*,0*
Groombridge VIII,,GroombridgeVIII,Gas giant,Planet,Gas giant Planet,Groombridge,25,3.29,,,,Deep freeze,H2,Extreme,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,1,0,0,4,0,2,1,3,8,1,0,0,0*,0*
Groombridge VIII-a,,GroombridgeVIIIa,Rock,Moon,Rock Moon,Groombridge,25,0.48,,,,Temperate,Thin CO2,Weak,Biological,"Ar,C6Hn,Cl,H20,Pb,R-COC",6,Unknown,Unknown,"Forest,Mountains,Ocean,SavannahBarren","Forest,Mountains,Ocean,Savannah",Unknown,79.2%,Yes,0,0,3,0,0,4,4,4,3,5,2,2,2*,2*
Groombridge VIII-b,,GroombridgeVIIIb,Ice,Moon,Ice Moon,Groombridge,25,0.16,,,,Deep freeze,None,None,Chemical,"Co,H20,Ni",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,1,3,1,1,1,3,0,0,0*,0*
Groombridge VIII-c,,GroombridgeVIIIc,Rock,Moon,Rock Moon,Groombridge,25,0.55,,,,Temperate,Thin O2,None,Safe,"Al,Be,Cu,H20,Pb",5,Unknown,Unknown,"Archipelago,Ocean,Polar-Ice,Wetlands","Coastal,Ocean,Ice,Wetlands",Unknown,79.2%,Yes,0,0,0,0,1,4,4,6,1,6,2,2,2*,2*
Groombridge VIII-d,,GroombridgeVIIId,Rock,Moon,Rock Moon,Groombridge,25,0.74,,,,Temperate,Std O2,None,Heavy metal,"Ar,Cl,H20,Ir,Li,U",6,Unknown,Unknown,"Archipelago,Ocean,Polar-Ice,SavannahBarren","Coastal,Ocean,Ice,Savannah",Unknown,79.2%,Yes,0,0,0,0,0,4,4,6,1,2,3,3,3*,3*
Guniibuu I,,GuniibuuI,Barren,Planet,Barren Planet,Guniibuu,20,0.46,,,,Inferno,None,None,None,"Al,He-3",2,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,1,0,0,0,2,3,7,1,1,1,0,0,0*,0*
Guniibuu I-a,,GuniibuuIa,Barren,Moon,Barren Moon,Guniibuu,20,0.21,,,,Inferno,None,None,None,"Al,Be,He-3,Nd",4,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,1,0,0,0,2,3,7,1,1,1,0,0,0*,0*
Guniibuu I-b,,GuniibuuIb,Barren,Moon,Barren Moon,Guniibuu,20,0.11,,,,Inferno,None,None,None,"Al,He-3,Nd",3,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,1,0,0,0,2,3,7,1,1,1,0,0,0*,0*
Guniibuu II,,GuniibuuII,Rock,Planet,Rock Planet,Guniibuu,20,1.30,,,,Temperate,High O2,Weak,Radioactive,"Al,Au,Be,Cl,Cu,F,Fe,H20",8,Moderate (8),Abundant (8),"Archipelago,Mountains,Ocean,Polar-Ice,SavannahBarren","Coastal,Mountains,Ocean,Ice,Savannah",Unknown,100.0%,Yes,0,2,0,0,2,4,4,6,3,4,3,3,8,8
